# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	228098
#@/user_id	3eb7fba5-02d4-4760-8547-f0decde08619
a 	啊	c=692 d=1.71343 t=228098
xia chang 	下場	c=1 d=1 t=227565
xia che 	下車	c=3 d=2.46128e-08 t=228098
xia chen 	下沉	c=20 d=0.000169951 t=228098
xia ci 	下次	c=39 d=0.66034 t=228098
xia ci 	瑕疵	c=5 d=5.67357e-39 t=228098
xia da 	下達	c=2 d=6.74713e-19 t=228098
xia da xue 	下大學	c=1 d=1.2928e-80 t=228098
xia da yu 	下大雨	c=1 d=1 t=226859
xia dai 	瞎帶	c=1 d=4.2756e-05 t=228098
xia dan 	下單	c=4 d=3.16745e-05 t=228098
xia de 	嚇得	c=0 d=1.71327e-41 t=228098
xia de wo 	嚇得我	c=1 d=1.72186e-40 t=228098
xia diao 	下掉	c=2 d=4.75543e-21 t=228098
xia diao 	瞎掉	c=4 d=4.70811e-21 t=228098
xia ei 	下誒	c=1 d=0.0010701 t=228098
xia fa 	下發	c=16 d=0.463013 t=228098
xia fan 	下凡	c=1 d=3.48822e-81 t=228098
xia fang 	下方	c=3 d=6.99959e-10 t=228098
xia fei ji 	下飛機	c=2 d=6.63055e-06 t=228098
xia fen xiang 	下分享	c=1 d=1.58397e-58 t=228098
xia ge 	下個	c=14 d=0.343009 t=228098
xia ge yue 	下個月	c=3 d=6.47464e-34 t=228098
xia gong fu 	下工夫	c=1 d=0.0183156 t=228098
xia gui 	下跪	c=1 d=1 t=226125
xia guo 	下鍋	c=1 d=3.68957e-06 t=228098
xia ha 	下哈	c=6 d=5.14536e-07 t=228098
xia hu 	嚇唬	c=2 d=1.56421e-28 t=228098
xia hua 	下滑	c=1 d=2.41336e-12 t=228098
xia hua xian 	下劃線	c=5 d=6.87735e-38 t=228098
xia hua zou 	下滑走	c=1 d=3.4287e-55 t=228098
xia huai 	下懷	c=1 d=1.43328e-29 t=228098
xia ji 	夏季	c=2 d=2.35658e-26 t=228098
xia jia 	下架	c=6 d=0.00346515 t=228098
xia jiang 	下降	c=6 d=1.07098e-42 t=228098
xia jie duan 	下階段	c=1 d=3.99797e-68 t=228098
xia jie lun 	下結論	c=1 d=4.75108e-69 t=228098
xia jiu xing 	下就行	c=1 d=1.02902e-13 t=228098
xia kan kan 	下看看	c=3 d=0.000343955 t=228098
xia ke 	下課	c=29 d=0.092089 t=228098
xia ke 	俠客	c=3 d=0.0916297 t=228098
xia la 	下拉	c=5 d=0.000184272 t=228098
xia la shua xin 	下拉刷新	c=1 d=5.6047e-13 t=228098
xia lai 	下來	c=81 d=0.392586 t=228098
xia lai jiu shi 	下來就是	c=1 d=0.895834 t=228098
xia lai zi ai 	下來自愛	c=1 d=1.73561e-16 t=228098
xia li 	夏利	c=1 d=1.31006e-89 t=228098
xia lia 	下倆	c=3 d=1.35732e-07 t=228098
xia lo ai 	下咯愛	c=1 d=4.31448e-82 t=228098
xia lou 	下樓	c=1 d=4.57723e-101 t=228098
xia ma 	下馬	c=1 d=0.774916 t=228098
xia mei xia xian 	下沒下限	c=1 d=0.463013 t=228098
xia mian 	下面	c=60 d=0.0802146 t=228098
xia ni 	狎暱	c=1 d=6.65169e-116 t=228098
xia nie mie ni 	下捻滅你	c=1 d=0.000343955 t=228098
xia ou gou 	下偶夠	c=1 d=1.45055e-111 t=228098
xia pian 	下篇	c=1 d=1.18672e-14 t=228098
xia qing kuang 	下情況	c=1 d=3.28418e-19 t=228098
xia qu 	下去	c=12 d=0.0761538 t=228098
xia ren 	嚇人	c=3 d=2.78179e-08 t=228098
xia shu 	下屬	c=1 d=1 t=227818
xia shuo 	瞎說	c=2 d=0.000542133 t=228098
xia song shi 	下送是	c=1 d=9.39942e-37 t=228098
xia tu 	下圖	c=4 d=2.69582e-20 t=228098
xia wan 	下完	c=1 d=5.60852e-22 t=228098
xia wan 	峽灣	c=3 d=1.88025e-20 t=228098
xia wan xue 	下完雪	c=1 d=7.29742e-59 t=228098
xia wan zheng 	下完整	c=1 d=2.06754e-16 t=228098
xia wo yi tiao 	嚇我一跳	c=1 d=1.84037e-29 t=228098
xia wu 	下午	c=63 d=0.893915 t=228098
xia wu qu 	下午去	c=1 d=1.34798e-13 t=228098
xia xia zhou 	下下週	c=2 d=1.06622e-19 t=228098
xia xian 	下線	c=26 d=0.919179 t=228098
xia xian 	下限	c=18 d=0.923116 t=228098
xia xian zai 	下現在	c=1 d=1.05124e-29 t=228098
xia xian zhi 	下限值	c=1 d=1.27871e-10 t=228098
xia xue 	下雪	c=3 d=7.09834e-20 t=228098
xia xue qi 	下學期	c=1 d=1.7564e-09 t=228098
xia yi 	下一	c=0 d=3.95549e-61 t=228098
xia yi 	狹義	c=1 d=1.73951e-13 t=228098
xia yi bu 	下一步	c=9 d=3.53983e-06 t=228098
xia yi ci 	下一次	c=1 d=8.1263e-60 t=228098
xia yi ge 	下一個	c=6 d=6.04328e-17 t=228098
xia yi guan 	下一關	c=1 d=3.97532e-60 t=228098
xia yi hang 	下一行	c=1 d=7.71633e-98 t=228098
xia yi pian 	下一篇	c=1 d=1.07708e-50 t=228098
xia yi ye 	下一頁	c=1 d=4.98872e-55 t=228098
xia yi zhan 	下一站	c=1 d=4.16126e-39 t=228098
xia yi zhang 	下一張	c=3 d=1.22638e-12 t=228098
xia yu 	下雨	c=5 d=0.0973405 t=228098
xia za 	下砸	c=1 d=4.56275e-05 t=228098
xia zai 	下載	c=195 d=0.568717 t=228098
xia zai de 	下載的	c=2 d=4.28813e-10 t=228098
xia zai liang 	下載量	c=1 d=0.0182243 t=228098
xia zai nai 	下載奈	c=1 d=4.02661e-05 t=228098
xia zhe 	嚇着	c=1 d=5.36082e-19 t=228098
xia zheng 	瞎整	c=1 d=3.09987e-16 t=228098
xia zhou 	下週	c=56 d=1.42421 t=228098
xia zhou er 	下週二	c=3 d=2.30396e-25 t=228098
xia zhou yi 	下週一	c=2 d=1.49798e-19 t=228098
xia zhu 	嚇住	c=1 d=1 t=223327
xia zi 	瞎子	c=0 d=3.84644e-85 t=228098
xia zi a 	瞎子啊	c=2 d=7.91109e-09 t=228098
xia zou 	下走	c=1 d=2.14083e-14 t=228098
xia zuo you 	下左右	c=1 d=3.00448e-60 t=228098
xian 	先	c=448 d=1.96467 t=228098
xian 	嫌	c=1 d=2.2361e-85 t=228098
xian 	現	c=6 d=0.142274 t=228098
xian 	線	c=24 d=0.927743 t=228098
xian 	縣	c=3 d=5.07205e-44 t=228098
xian 	閒	c=4 d=4.21899e-54 t=228098
xian 	險	c=1 d=2.59638e-19 t=228098
xian ai 	腺癌	c=3 d=9.16609e-06 t=228098
xian an zhao 	先按照	c=1 d=1 t=201130
xian ba tou chou 	先拔頭籌	c=2 d=0.000282498 t=228098
xian bai du 	先百度	c=1 d=1.80823e-57 t=228098
xian bie 	先別	c=0 d=5.50683e-42 t=228098
xian bie hui qu 	先別回去	c=1 d=5.53443e-41 t=228098
xian bu 	先不	c=1 d=1.64721e-49 t=228098
xian bu da 	先不打	c=2 d=3.32758e-48 t=228098
xian bu guan 	先不管	c=1 d=0.0261214 t=228098
xian bu kao lv 	先不考慮	c=1 d=1.1151e-17 t=228098
xian bu mai 	先不買	c=1 d=5.3998e-16 t=228098
xian chang 	現場	c=3 d=7.55334e-06 t=228098
xian chang ge 	現場個	c=1 d=1.11974e-07 t=228098
xian cheng 	現成	c=14 d=0.729789 t=228098
xian cheng 	線程	c=16 d=4.83403e-08 t=228098
xian cheng shu 	線程數	c=2 d=1.30432e-08 t=228098
xian dao 	先導	c=1 d=4.96131e-49 t=228098
xian de 	顯得	c=1 d=7.88773e-33 t=228098
xian deng zhe 	先等着	c=1 d=0.265803 t=228098
xian ding 	限定	c=15 d=1.40396e-09 t=228098
xian ding yu 	限定語	c=1 d=1 t=209827
xian duan 	線段	c=2 d=0.00662657 t=228098
xian fa zhi ren 	先發制人	c=1 d=1 t=212519
xian fei 	賢妃	c=1 d=9.01369e-44 t=228098
xian feng 	先鋒	c=1 d=5.25646e-23 t=228098
xian gei 	先給	c=1 d=7.66765e-53 t=228098
xian gei 	獻給	c=1 d=7.62941e-53 t=228098
xian gu 	仙姑	c=0 d=0.0985112 t=228098
xian gu bu kai 	仙姑不開	c=1 d=0.99005 t=228098
xian gu gan 	仙姑感	c=2 d=1.96905e-30 t=228098
xian gu gong 	先故宮	c=1 d=3.27737e-24 t=228098
xian guan cha 	先觀察	c=1 d=2.83992e-15 t=228098
xian hou 	先後	c=2 d=2.07685e-10 t=228098
xian hui jia 	先回家	c=1 d=1.90386e-75 t=228098
xian jiang 	先將	c=1 d=1.84088e-91 t=228098
xian jie 	銜接	c=4 d=1.48427e-73 t=228098
xian jin 	現金	c=2 d=7.5301e-38 t=228098
xian jin qu 	陷進去	c=1 d=5.78031e-23 t=228098
xian jing 	陷阱	c=1 d=4.36569e-15 t=228098
xian ka 	嫌卡	c=1 d=8.93891e-93 t=228098
xian kai 	先開	c=1 d=0.00914087 t=228098
xian kai 	掀開	c=1 d=0.00909528 t=228098
xian kai hui 	掀開會	c=1 d=4.60973e-96 t=228098
xian kan 	先看	c=10 d=1.97966e-05 t=228098
xian kan dao 	先看到	c=1 d=3.07635e-44 t=228098
xian lai 	先來	c=1 d=0.479505 t=228098
xian lian xi 	先聯繫	c=1 d=1 t=224879
xian liang 	限量	c=1 d=3.54792e-16 t=228098
xian liao 	閒聊	c=1 d=7.66007e-12 t=228098
xian lu 	線路	c=1 d=2.09359e-75 t=228098
xian mang 	先忙	c=1 d=5.54799e-11 t=228098
xian mu 	羨慕	c=6 d=0.0429557 t=228098
xian mu ni men 	羨慕你們	c=1 d=1.02319e-05 t=228098
xian nong 	先農	c=1 d=2.00535e-39 t=228098
xian qi 	嫌棄	c=1 d=9.12784e-45 t=228098
xian qing 	閒情	c=1 d=5.45887e-26 t=228098
xian qing ya zhi 	閒情雅緻	c=1 d=1.77707e-29 t=228098
xian qu 	先去	c=5 d=3.94957e-13 t=228098
xian quan 	線圈	c=1 d=2.69307e-08 t=228098
xian rang 	先讓	c=1 d=3.93937e-12 t=228098
xian ren qiu 	仙人球	c=1 d=4.01814e-39 t=228098
xian ru 	陷入	c=1 d=6.25068e-61 t=228098
xian sa huang na ge 	先撒謊那個	c=3 d=1.43226e-50 t=228098
xian shang 	先上	c=5 d=2.83471 t=223122
xian shang 	線上	c=222 d=1.86642 t=228098
xian shang ba 	線上吧	c=1 d=2.08535e-58 t=228098
xian shang bao 	線上包	c=4 d=4.36198e-05 t=228098
xian shang de 	線上的	c=1 d=0.000200439 t=228098
xian shang lai 	先上來	c=2 d=8.94101e-37 t=228098
xian sheng 	先生	c=1 d=0.231078 t=228098
xian shi 	先是	c=3 d=7.85265e-10 t=228098
xian shi 	現實	c=5 d=7.89201e-10 t=228098
xian shi 	顯式	c=2 d=2.23661e-09 t=228098
xian shi 	顯示	c=134 d=0.814647 t=228098
xian shi chu 	顯示出	c=1 d=9.70414e-30 t=228098
xian shi ping 	顯示屏	c=1 d=1 t=217223
xian shi qi 	顯示器	c=4 d=3.65597e-16 t=228098
xian shu 	嫺熟	c=1 d=1.36395e-122 t=228098
xian shu xi 	先熟悉	c=1 d=6.74254e-11 t=228098
xian shuo 	先說	c=1 d=1 t=203045
xian su 	限速	c=1 d=7.87298e-11 t=228098
xian suo 	線索	c=7 d=0.0411719 t=228098
xian tiao 	線條	c=11 d=2.63469 t=228098
xian tui 	先退	c=2 d=1.22665e-21 t=228098
xian xia 	線下	c=14 d=0.109154 t=228098
xian xia dian 	線下店	c=1 d=0.0902655 t=228098
xian xia ke 	線下課	c=1 d=3.9871e-36 t=228098
xian xia lai 	閒下來	c=1 d=7.11263e-22 t=228098
xian xian 	顯現	c=1 d=1.85369e-55 t=228098
xian xiang 	現象	c=16 d=0.0776922 t=228098
xian xiang zhe 	先想着	c=1 d=1 t=215522
xian xing 	先行	c=4 d=4.44012e-08 t=228098
xian xing 	線型	c=3 d=7.82946e-34 t=228098
xian xing 	線性	c=2 d=0.0152222 t=228098
xian xing zhe 	先行者	c=1 d=3.33406e-108 t=228098
xian yan 	顯眼	c=1 d=1 t=214725
xian ye 	仙野	c=2 d=9.81928e-61 t=228098
xian yong 	先用	c=5 d=0.000668817 t=228098
xian you 	先有	c=1 d=8.84e-21 t=228098
xian you 	現有	c=3 d=6.66048e-14 t=228098
xian yu 	閒魚	c=1 d=3.35099e-50 t=228098
xian yu 	限於	c=4 d=6.7018e-20 t=228098
xian za 	閒雜	c=5 d=5.84877e-14 t=228098
xian za de 	閒雜的	c=1 d=5.71987e-17 t=228098
xian za pai 	先雜牌	c=1 d=3.00305e-25 t=228098
xian zai 	現在	c=704 d=1.64104 t=228098
xian zai bu shi 	現在不是	c=1 d=0.000675539 t=228098
xian zai bu xing 	現在不行	c=1 d=6.33456e-12 t=228098
xian zai guan fang 	現在官方	c=1 d=1.21949e-11 t=228098
xian zai jin bi 	現在金幣	c=1 d=2.57361e-33 t=228098
xian zai jiu 	現在就	c=2 d=4.76125e-06 t=228098
xian zai mei 	現在沒	c=2 d=8.33823e-10 t=228098
xian zai yong 	現在用	c=1 d=3.81957e-31 t=228098
xian zai zhe ge 	現在這個	c=1 d=2.86575e-92 t=228098
xian zeng 	嫌憎	c=1 d=1.59749e-11 t=228098
xian zhang 	縣長	c=4 d=0.228954 t=228098
xian zhao dao 	先找到	c=1 d=1 t=209668
xian zhe 	閒着	c=2 d=4.2927e-14 t=228098
xian zhe yang 	先這樣	c=2 d=4.06003e-14 t=228098
xian zhi 	閒置	c=5 d=0.782247 t=228098
xian zhi 	限制	c=48 d=1.30764 t=228098
xian zhuang 	現狀	c=6 d=1.38104e-06 t=228098
xian zhuang hao 	先裝好	c=1 d=7.53222e-108 t=228098
xian zi 	仙子	c=0 d=7.59394e-58 t=228098
xian zi a 	仙子啊	c=19 d=0.000930303 t=228098
xian zi a you 	仙子啊有	c=1 d=1 t=196805
xian zou 	先走	c=2 d=1.93707 t=224182
xian zuo 	先做	c=1 d=4.02156e-49 t=228098
xiang 	像	c=36 d=0.0629436 t=228098
xiang 	向	c=9 d=0.000136389 t=228098
xiang 	想	c=329 d=1.99237 t=228098
xiang 	象	c=0 d=1.97449e-34 t=228098
xiang 	項	c=23 d=0.606591 t=228098
xiang 	香	c=11 d=0.332871 t=228098
xiang ai 	相愛	c=0 d=0.0188247 t=228098
xiang ai fa 	相愛法	c=1 d=0.189191 t=228098
xiang ba 	想把	c=1 d=2.07614e-06 t=228098
xiang ba ba 	想爸爸	c=1 d=2.331e-74 t=228098
xiang ban fa 	想辦法	c=7 d=1.17451e-10 t=228098
xiang bi 	想必	c=1 d=3.98019e-45 t=228098
xiang bi 	相比	c=2 d=1.01826e-07 t=228098
xiang bu chu 	想不出	c=1 d=3.48964e-27 t=228098
xiang bu kai 	想不開	c=1 d=0.995012 t=228098
xiang bu qi 	想不起	c=1 d=5.91096e-80 t=228098
xiang bu qi lai 	想不起來	c=5 d=9.62345e-13 t=228098
xiang bu tong 	想不通	c=1 d=5.06962e-09 t=228098
xiang ce 	相冊	c=147 d=0.501285 t=228098
xiang ce le 	相冊了	c=1 d=4.29909e-40 t=228098
xiang cha 	像差	c=1 d=2.13916e-93 t=228098
xiang cha 	相差	c=4 d=1.73561e-16 t=228098
xiang cheng wei 	想成爲	c=1 d=4.53999e-05 t=228098
xiang chi 	想喫	c=1 d=0.0297478 t=228098
xiang chi sha 	想吃啥	c=1 d=6.27627e-109 t=228098
xiang chou 	鄉愁	c=1 d=0.0485578 t=228098
xiang chu 	相處	c=1 d=1.1083e-92 t=228098
xiang chuan 	相傳	c=1 d=2.42538e-41 t=228098
xiang cong 	想從	c=1 d=4.07886e-39 t=228098
xiang dan 	詳單	c=0 d=3.88444e-83 t=228098
xiang dan yu 	詳單於	c=2 d=1.0587e-24 t=228098
xiang dang 	相當	c=1 d=1 t=214991
xiang dang yu 	相當於	c=17 d=0.00145901 t=228098
xiang dao 	想到	c=14 d=2.93398e-16 t=228098
xiang de 	想的	c=1 d=3.57311e-11 t=228098
xiang de mei 	想得美	c=1 d=0.000116223 t=228098
xiang deng 	相等	c=3 d=1.52062e-19 t=228098
xiang dong xi 	想東西	c=1 d=2.39057e-18 t=228098
xiang dou bu yao 	想都不要	c=1 d=6.64554e-17 t=228098
xiang dui 	相對	c=18 d=0.0290329 t=228098
xiang fa 	想法	c=29 d=0.371912 t=228098
xiang fa zi 	想法子	c=1 d=1 t=201904
xiang fei 	想飛	c=1 d=3.12444e-50 t=228098
xiang gai 	想改	c=1 d=1.61965e-26 t=228098
xiang gan sha 	想幹啥	c=1 d=2.85561e-21 t=228098
xiang gao su 	想告訴	c=1 d=1 t=200225
xiang ge 	像個	c=1 d=9.28601e-100 t=228098
xiang gei 	想給	c=4 d=9.37386e-05 t=228098
xiang geng xin 	想更新	c=1 d=9.42245e-07 t=228098
xiang gu 	香菇	c=6 d=0.0443785 t=228098
xiang gu qing chu 	香菇清楚	c=1 d=0.0281559 t=228098
xiang gua 	香瓜	c=4 d=0.634448 t=228098
xiang guan 	相關	c=160 d=0.753734 t=228098
xiang guan fu ze ren 	相關負責人	c=1 d=1 t=225247
xiang guan zhi shi 	相關知識	c=1 d=0.000178665 t=228098
xiang guo 	想過	c=9 d=5.91958e-09 t=228098
xiang hao 	向好	c=4 d=1.24973e-05 t=228098
xiang hao 	想好	c=5 d=0.00010333 t=228098
xiang he 	香河	c=2 d=1.31651e-11 t=228098
xiang hu 	相互	c=1 d=1.5535e-06 t=228098
xiang hui qu 	想回去	c=2 d=2.54895e-08 t=228098
xiang ji 	相機	c=26 d=0.259365 t=228098
xiang ji tong guo 	相機通過	c=3 d=1.43526e-32 t=228098
xiang jia 	想家	c=1 d=1.24667e-35 t=228098
xiang jie 	詳解	c=2 d=2.71496e-15 t=228098
xiang jie jue 	想解決	c=1 d=0.900325 t=228098
xiang jin 	相近	c=1 d=2.65831e-61 t=228098
xiang kan 	想看	c=2 d=1.30095e-07 t=228098
xiang kan kan 	想看看	c=4 d=1.18708e-47 t=228098
xiang kao lv 	想考慮	c=1 d=1.63004e-13 t=228098
xiang la 	香辣	c=1 d=0.000909528 t=228098
xiang la ji tui 	香辣雞腿	c=1 d=0.00914087 t=228098
xiang lai 	想來	c=0 d=9.40613e-17 t=228098
xiang lai xiang qi 	想來想起	c=1 d=9.45328e-16 t=228098
xiang lian 	相連	c=2 d=9.06373e-13 t=228098
xiang lian 	項鍊	c=7 d=0.0159356 t=228098
xiang liang 	向量	c=24 d=0.314922 t=228098
xiang liao jie 	想瞭解	c=6 d=7.7518e-05 t=228098
xiang mai 	想買	c=1 d=9.56811e-11 t=228098
xiang mai 	想賣	c=1 d=0.000283018 t=228098
xiang ming bai 	想明白	c=2 d=2.07276e-75 t=228098
xiang mu 	項目	c=211 d=1.12211 t=228098
xiang mu zhong 	項目中	c=8 d=0.0234005 t=228098
xiang ni 	想你	c=1 d=6.39496e-07 t=228098
xiang nian 	想念	c=1 d=4.9593e-103 t=228098
xiang pian 	相片	c=2 d=6.96349e-08 t=228098
xiang qi 	想起	c=12 d=2.78947e-10 t=228098
xiang qi bu lai 	想起不來	c=1 d=6.85587e-60 t=228098
xiang qi lai 	想起來	c=7 d=0.0335406 t=228098
xiang qing 	詳情	c=43 d=0.0129068 t=228098
xiang qing chu 	想清楚	c=1 d=4.17061e-36 t=228098
xiang qing da jia chi fan 	想請大家喫飯	c=1 d=5.48998e-05 t=228098
xiang qing li mian 	詳情裏面	c=1 d=1.59771e-42 t=228098
xiang qing ye 	詳情頁	c=4 d=2.93958e-09 t=228098
xiang qu 	想去	c=6 d=8.46281e-08 t=228098
xiang ri 	向日	c=1 d=1.01892e-44 t=228098
xiang ri kui 	向日葵	c=1 d=6.67821e-104 t=228098
xiang rong 	向融	c=1 d=1 t=222227
xiang shang 	向上	c=4 d=9.26861e-11 t=228098
xiang shi 	像是	c=6 d=0.390628 t=228098
xiang shou 	享受	c=4 d=0.970446 t=228098
xiang shou dao 	享受到	c=1 d=2.44351e-11 t=228098
xiang shui 	想睡	c=0 d=1.50887e-17 t=228098
xiang shui 	香水	c=1 d=1 t=197029
xiang shui jiu shui 	想睡就睡	c=1 d=1.51643e-16 t=228098
xiang si 	想死	c=1 d=4.09025e-13 t=228098
xiang si 	相似	c=2 d=8.63524e-10 t=228098
xiang su 	像素	c=54 d=2.06989 t=228098
xiang su dian 	像素點	c=1 d=9.88671e-14 t=228098
xiang ting 	想聽	c=3 d=0.000943369 t=228098
xiang ting sha 	想聽啥	c=1 d=0.00118858 t=228098
xiang tong 	相同	c=18 d=0.000112788 t=228098
xiang wen 	想問	c=2 d=3.23298e-40 t=228098
xiang xi 	詳細	c=33 d=0.189191 t=228098
xiang xia 	向下	c=5 d=5.80335e-11 t=228098
xiang xian 	象限	c=1 d=0.00995182 t=228098
xiang xiang 	想想	c=41 d=0.00532805 t=228098
xiang xiang 	想象	c=4 d=0.404542 t=228098
xiang xiang li 	想象力	c=2 d=3.46504e-32 t=228098
xiang xiang zen me zuo 	想想怎麼做	c=1 d=6.74024e-07 t=228098
xiang xiang zhong 	想象中	c=1 d=6.57382e-07 t=228098
xiang xie 	想寫	c=0 d=1.04999e-16 t=228098
xiang xie jin ru 	想寫進入	c=1 d=1.05525e-15 t=228098
xiang xie sha 	想寫啥	c=1 d=9.7877e-72 t=228098
xiang xin 	相信	c=10 d=4.37327e-06 t=228098
xiang yao 	想要	c=25 d=0.00151098 t=228098
xiang yao chong dian 	想要充電	c=1 d=4.76206e-08 t=228098
xiang ying 	相應	c=9 d=0.0177743 t=228098
xiang ying 	相映	c=1 d=1.95857e-26 t=228098
xiang ying 	響應	c=12 d=0.0176857 t=228098
xiang ying ma 	相應嗎	c=1 d=1 t=225289
xiang ying ma 	相應碼	c=1 d=1 t=225290
xiang yong 	想用	c=9 d=0.0131675 t=228098
xiang yong er qi 	相擁而泣	c=1 d=1 t=227523
xiang you 	香油	c=1 d=4.3528e-39 t=228098
xiang zai 	想在	c=1 d=1.03865e-05 t=228098
xiang zhao hui 	想找回	c=1 d=1.08624e-32 t=228098
xiang zhe 	想着	c=19 d=0.00145173 t=228098
xiang zhe ge 	想這個	c=1 d=1.09738e-05 t=228098
xiang zhe teng 	想折騰	c=1 d=4.53092e-99 t=228098
xiang zi 	箱子	c=9 d=6.13758e-08 t=228098
xiang zi xun 	想諮詢	c=1 d=1.7329e-27 t=228098
xiang zuo 	想做	c=3 d=6.66048e-14 t=228098
xiang zuo ren jia 	想做人家	c=1 d=3.21696e-11 t=228098
xiang zuo yi ge 	想做一個	c=1 d=1 t=222845
xiao 	削	c=1 d=1 t=199595
xiao 	嘯	c=1 d=1.37391e-90 t=228098
xiao 	小	c=60 d=0.353593 t=228098
xiao 	曉	c=9 d=9.81033e-11 t=228098
xiao 	消	c=3 d=8.62293e-52 t=228098
xiao 	笑	c=5 d=1.53037e-06 t=228098
xiao ai 	小艾	c=4 d=2.40482e-09 t=228098
xiao ao 	笑傲	c=0 d=8.74878e-47 t=228098
xiao bai 	小柏	c=3 d=0.0147723 t=228098
xiao bai 	小白	c=1 d=4.99584e-13 t=228098
xiao ban ben 	小版本	c=3 d=1.88452 t=223366
xiao bao 	小寶	c=1 d=1.16885e-12 t=228098
xiao ca 	小擦	c=1 d=5.59119e-14 t=228098
xiao cai 	小菜	c=105 d=0.733931 t=228098
xiao cai qun 	小菜羣	c=1 d=6.52637e-10 t=228098
xiao cai yi die 	小菜一碟	c=2 d=4.37685e-45 t=228098
xiao cai yu 	小菜於	c=1 d=7.13833e-35 t=228098
xiao cai yu 	小菜與	c=2 d=7.35596e-06 t=228098
xiao cai yu lao niao 	小菜與老鳥	c=2 d=0.0190635 t=228098
xiao chang mian 	小場面	c=1 d=1.29442e-36 t=228098
xiao chao shi 	小超市	c=2 d=1.97531 t=225935
xiao cheng 	小城	c=1 d=2.44335e-69 t=228098
xiao cheng xu 	小程序	c=17 d=1.2171 t=228098
xiao cheng xu cu 	小程序粗	c=1 d=2.853e-69 t=228098
xiao chou 	小丑	c=1 d=2.74981e-18 t=228098
xiao chu 	消除	c=2 d=1.70832e-06 t=228098
xiao ci 	消磁	c=2 d=7.84998e-06 t=228098
xiao dao 	小島	c=1 d=5.32031e-18 t=228098
xiao de 	小德	c=1 d=1.11951e-34 t=228098
xiao de 	曉得	c=1 d=2.5606e-91 t=228098
xiao di 	嘯鏑	c=184 d=0.182894 t=228098
xiao di 	小弟	c=15 d=4.66795e-10 t=228098
xiao di fang 	小地方	c=1 d=4.34022e-05 t=228098
xiao di le 	小弟了	c=1 d=5.5834e-27 t=228098
xiao di tu 	小地圖	c=1 d=2.76359e-18 t=228098
xiao dian 	小店	c=1 d=2.11333e-09 t=228098
xiao dian 	小點	c=1 d=4.20353e-99 t=228098
xiao du 	消毒	c=3 d=0.00591656 t=228098
xiao du zi 	小肚子	c=1 d=4.41107e-19 t=228098
xiao dui 	小隊	c=3 d=8.9736e-21 t=228098
xiao er 	小兒	c=0 d=4.30715e-63 t=228098
xiao er 	肖爾	c=2 d=7.23735e-13 t=228098
xiao er wo ne ti 	小而我呢題	c=1 d=1.28573e-45 t=228098
xiao fan kui 	小反饋	c=1 d=3.6365e-12 t=228098
xiao fei 	消費	c=17 d=0.0026736 t=228098
xiao fei zhe 	消費者	c=1 d=8.09567e-45 t=228098
xiao fen dui 	小分隊	c=5 d=9.19397e-08 t=228098
xiao feng jian 	小風劍	c=1 d=9.57758e-52 t=228098
xiao ge 	小哥	c=2 d=0.0184076 t=228098
xiao ge jian 	小隔間	c=1 d=9.16921e-10 t=228098
xiao gong ju 	小工具	c=50 d=0.12307 t=228098
xiao gou 	小狗	c=1 d=3.41635e-42 t=228098
xiao gu 	小姑	c=0 d=1.4059e-09 t=228098
xiao gu fu 	小姑服	c=1 d=1.41295e-08 t=228098
xiao gu shi 	小故事	c=2 d=2.04206e-70 t=228098
xiao guai 	小乖	c=1 d=1.25296e-06 t=228098
xiao guai 	小怪	c=2 d=5.34814e-05 t=228098
xiao gui 	小鬼	c=2 d=4.55174e-06 t=228098
xiao guo 	效果	c=73 d=3.0463 t=228098
xiao guo tu 	效果圖	c=1 d=1.16022e-13 t=228098
xiao hai 	小孩	c=3 d=0.158817 t=228098
xiao hai zi 	小孩子	c=1 d=0.00606634 t=228098
xiao hao 	小號	c=10 d=0.000156885 t=228098
xiao hao 	消耗	c=2 d=4.34096e-07 t=228098
xiao hong 	小紅	c=0 d=2.72671e-08 t=228098
xiao hong dian 	小紅點	c=1 d=1.55319e-33 t=228098
xiao hong hua 	小紅花	c=2 d=1.23128e-121 t=228098
xiao hong shu 	小紅書	c=1 d=2.74038e-07 t=228098
xiao hou 	小吼	c=1 d=2.36517e-10 t=228098
xiao hu li 	小狐狸	c=1 d=4.67636e-59 t=228098
xiao huang 	小黃	c=0 d=8.71821e-94 t=228098
xiao huang ya 	小黃呀	c=1 d=8.76191e-93 t=228098
xiao hui 	銷毀	c=2 d=1.86502 t=205674
xiao huo ban 	小夥伴	c=9 d=0.00831246 t=228098
xiao jian yi 	小建議	c=1 d=1.07635e-42 t=228098
xiao jie 	小結	c=1 d=1 t=219548
xiao kou 	小口	c=0 d=1.37985e-83 t=228098
xiao la ji 	小垃圾	c=1 d=0.0100518 t=228098
xiao lai 	小來	c=1 d=9.29738e-85 t=228098
xiao lao hu 	小老虎	c=2 d=5.01747e-05 t=228098
xiao li 	校歷	c=2 d=1.76721 t=209359
xiao li wu 	小禮物	c=2 d=1.0225e-05 t=228098
xiao long nv 	小龍女	c=1 d=7.75633e-100 t=228098
xiao lv 	效率	c=38 d=0.301194 t=228098
xiao lv zu 	效率組	c=4 d=1.01246e-28 t=228098
